cavename,n,m,num_connected_components,spectral_radius,algebraic_connectivity,normalized_algebraic_connectivity,graph_energy,laplacian_energy,estrada_index,kirchhoff_index,num_spanning_trees,status
Tatra,84.0,73.0,12.0,2.6879936922761583,0.0,-1.6653345369377348e-16,85.8992036733157,125.87657708364446,185.84542910477256,,0.0,computed_or_partially_computed
ClydachGorge,32.0,24.0,8.0,2.3420354116703015,0.0,0.0,28.856938245096543,44.48352233955513,64.27184268847637,,0.0,computed_or_partially_computed
Cavernicole,103.0,99.0,7.0,2.928939824545704,0.0,0.003196997791643537,114.02756485462147,162.56690208422623,245.80157571357637,,0.0,computed_or_partially_computed
FontaineNoire,54.0,49.0,9.0,2.895209769810651,0.0,0.0,55.911493949221565,85.50753050849818,127.3056358758497,,0.0,computed_or_partially_computed
ClotAspres,634.0,634.0,21.0,2.9426380354495634,-5.631372860090885e-16,-4.138245710638192e-16,720.1626475612314,994.6930016066083,1550.6502371886202,,0.0,computed_or_partially_computed
Moucherotte,228.0,221.0,18.0,2.770557566050692,0.0,0.0,260.35699049092557,341.3644429069907,545.5743466836898,,0.0,computed_or_partially_computed
Sornin,660.0,679.0,18.0,3.0344701703940156,-7.734291722696907e-16,-3.5623918772558286e-16,764.5762925069796,1047.7099652802387,1664.7084010792853,,0.0,computed_or_partially_computed
Perthuis,63.0,54.0,10.0,2.575305161838501,0.0,0.0,63.426998147198894,94.06428161904816,138.48699477719924,,0.0,computed_or_partially_computed
Blau,28.0,23.0,5.0,2.5084195681211536,0.0,0.02790235785833999,26.268542365861887,42.68261101069084,60.36629772287716,,0.0,computed_or_partially_computed
Bailleurs,144.0,141.0,5.0,2.941272424841372,0.0,0.0022012538772429938,157.53969819002663,230.67473082415265,349.12295221745705,,0.0,computed_or_partially_computed
Mandra,33.0,28.0,5.0,2.4469830614196186,0.0,0.016482719045358026,32.15943007274472,49.43642838013854,71.71176499222553,,0.0,computed_or_partially_computed
Argent,21.0,17.0,5.0,2.6127074430491737,0.0,0.05043475270786963,19.056882390270395,32.63835705554356,46.604130616759825,,0.0,computed_or_partially_computed
Cheminee,83.0,84.0,5.0,2.830811981944049,0.0,0.0029370732397397364,95.1715555738062,134.73812731878454,211.44827416487507,,0.0,computed_or_partially_computed
Carcabon,167.0,160.0,7.0,2.5594617048987356,0.0,0.0008883317668371098,184.15178349707958,258.77369969560885,390.93420605793784,,0.0,computed_or_partially_computed
Serreno,134.0,133.0,7.0,2.941144585202886,0.0,0.0033663844208194635,148.44977355537657,217.31756662475277,330.0786922404479,,0.0,computed_or_partially_computed
Yeux,64.0,57.0,7.0,2.76414573490308,0.0,0.008140133645354982,62.31436377487037,101.02813290457547,146.851278161624,,0.0,computed_or_partially_computed
TorcaAitken,229.0,228.0,5.0,2.79355462988585,0.0,0.0007772186352766488,257.67349187046716,361.4159849376335,553.9254524158348,,0.0,computed_or_partially_computed
CuevaCarrera,273.0,274.0,7.0,2.8588079604614087,0.0,0.0004953525615663534,310.1554984112196,433.0549089333822,670.0780708743765,,0.0,computed_or_partially_computed
Pasillo,148.0,144.0,7.0,2.8096613421820056,0.0,0.0016845417403810055,167.15981843082756,229.77732039893237,350.58804621861816,,0.0,computed_or_partially_computed
CuevaPollita,51.0,48.0,7.0,2.6989659703244744,0.0,0.026850319506773163,54.269289208396586,81.48871636882662,120.9268640444086,,0.0,computed_or_partially_computed
Lastrias,27.0,20.0,7.0,2.4257631898828533,0.0,0.02664969154756926,23.727766544839874,39.84809415943411,54.824148955879295,,0.0,computed_or_partially_computed
CuevaTonia,41.0,34.0,7.0,2.4446639788520517,0.0,0.009815753300156656,40.121060640923915,62.35974063121212,88.30132152271896,,0.0,computed_or_partially_computed
Cubillo,179.0,175.0,7.0,2.9432086839419505,0.0,0.0016830402613818103,197.03516406891302,285.9771062893887,433.055321345372,,0.0,computed_or_partially_computed
CuevaHelguera,67.0,60.0,7.0,2.5662419177068756,0.0,0.004621184448358446,69.34419548949911,104.25744650150158,151.42294542185482,,0.0,computed_or_partially_computed
Requiem,24.0,18.0,6.0,2.536600572116281,0.0,0.042202610239270924,19.191180567572758,35.3382189168058,49.939613222544054,,0.0,computed_or_partially_computed
CoumeBere,40.0,33.0,7.0,2.5330535759720405,0.0,0.012909850215929736,37.7193832913711,60.912692717727836,86.27930612315112,,0.0,computed_or_partially_computed
PerteYerse,48.0,41.0,7.0,2.4593420861590922,0.0,0.008590211774659703,47.19926905390396,72.38490073038423,104.69601804582216,,0.0,computed_or_partially_computed
Queou,112.0,107.0,7.0,2.9086695764427652,0.0,0.0015559859408523329,121.67867923323766,177.0257155563823,267.5052322518139,,0.0,computed_or_partially_computed
Crolles,1329.0,1387.0,32.0,3.0508680934429457,-3.174543961037557e-16,-4.720530696026363e-16,1574.8679166490224,2099.2961942595075,3372.0319115935336,,0.0,computed_or_partially_computed
Som,78.0,65.0,13.0,2.5963820266065127,-8.086051087556623e-16,-1.771755756430765e-16,77.23941705216001,113.94109253585886,167.2997904396584,,0.0,computed_or_partially_computed
Flaine,101.0,88.0,14.0,2.5586285745117103,-5.875032960842125e-16,-2.2609415270999017e-16,105.6582839795747,149.04245979009474,222.49930866938845,,0.0,computed_or_partially_computed
Larra,,,,,,,,,,,,skipped_because_original_too_large
Kelmend,156.0,134.0,22.0,2.8842346556695873,-5.551115123125783e-16,-2.622685055242435e-16,153.79313543788146,233.81321586040102,351.15937952886287,,0.0,computed_or_partially_computed
